REPORT_DATE,AGE_GROUP,ENGAGEMENT_CATEGORY,CITYWIDE_COUNT
10/12/2023,18-20 Years,DASIS CASES,39
10/12/2023,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,25
10/12/2023,18-20 Years,AWAITING CONCILIATION SCHED.,1
10/12/2023,18-20 Years,ASSIGNED JOB SEARCH,10
10/12/2023,18-20 Years,ACTIVE SINGLE ISSUE CASES,130
10/12/2023,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,1
10/12/2023,16-17 Years,STUDENT OVER AGE 15,15
10/12/2023,16-17 Years,EMPLOYMENT-BUDGETED,4
10/12/2023,16-17 Years,ACTIVE SINGLE ISSUE CASES,2
09/08/2023,21-24 Years,WECARE VOCATIONAL REHABILITAT,28
09/08/2023,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,286
09/08/2023,21-24 Years,WECARE & SUBSTANCE ABUSE,1
09/08/2023,21-24 Years,UNENGAGED,10
09/08/2023,21-24 Years,UNDERCARE AWAITING SCHEDULING,698
09/08/2023,16-17 Years,EMPLOYMENT-BUDGETED,3
09/08/2023,16-17 Years,RECEIVING SSI,1
09/08/2023,16-17 Years,STUDENT OVER AGE 15,13
09/08/2023,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,1
09/08/2023,18-20 Years,ACTIVE SINGLE ISSUE CASES,130
09/08/2023,18-20 Years,ASSIGNED JOB SEARCH,12
09/08/2023,18-20 Years,AWAITING CONCILIATION SCHED.,1
09/08/2023,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,16
09/08/2023,18-20 Years,DASIS CASES,39
09/08/2023,18-20 Years,EDUCATION/TRAINING,32
09/08/2023,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,3
09/08/2023,18-20 Years,EMPLOYMENT- GRANT DIVERSION,11
09/08/2023,18-20 Years,EMPLOYMENT-BUDGETED,147
09/08/2023,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,16
09/08/2023,18-20 Years,FAIR HEARING (NOT CONTESTING),1
09/08/2023,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1738
09/08/2023,18-20 Years,RECEIVING SSI,13
09/08/2023,18-20 Years,STUDENT OVER AGE 15,7
09/08/2023,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,14
09/08/2023,18-20 Years,TEMP. INCAPACITATED - HEALTH,55
09/08/2023,18-20 Years,TEMPORARILY EXEMPT,25
09/08/2023,18-20 Years,UNDERCARE AWAITING SCHEDULING,154
09/08/2023,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,35
09/08/2023,18-20 Years,WECARE VOCATIONAL REHABILITAT,2
09/08/2023,21-24 Years,ACTIVE SINGLE ISSUE CASES,609
09/08/2023,21-24 Years,ASSIGNED JOB SEARCH,83
09/08/2023,21-24 Years,AWAITING CONCILIATION SCHED.,16
09/08/2023,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,66
09/08/2023,21-24 Years,CHILD UNDER 3 MONTHS,1
09/08/2023,21-24 Years,DASIS CASES,336
09/08/2023,21-24 Years,EDUCATION/TRAINING,272
09/08/2023,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,35
09/08/2023,21-24 Years,EMPLOYMENT- GRANT DIVERSION,133
09/08/2023,21-24 Years,EMPLOYMENT-BUDGETED,1101
09/08/2023,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,125
09/08/2023,21-24 Years,FAIR HEARING (CONTESTING),1
09/08/2023,21-24 Years,FAIR HEARING (NOT CONTESTING),1
09/08/2023,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,9599
09/08/2023,21-24 Years,NEEDED AT HOME,4
09/08/2023,21-24 Years,PENDING CASAC SCHEDULING/OUT,1
09/08/2023,21-24 Years,RECEIVING SSI,41
09/08/2023,21-24 Years,SANCTION IN EFFECT,1
09/08/2023,21-24 Years,SSI PENDING/APPEALING,7
09/08/2023,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,28
09/08/2023,21-24 Years,SUBSTANCE ABUSE TREATMENT,11
09/08/2023,21-24 Years,TEMP. INCAPACITATED - HEALTH,169
09/08/2023,21-24 Years,TEMPORARILY EXEMPT,151
08/15/2023,16-17 Years,ACTIVE SINGLE ISSUE CASES,1
08/15/2023,16-17 Years,EMPLOYMENT-BUDGETED,3
08/15/2023,16-17 Years,RECEIVING SSI,1
08/15/2023,16-17 Years,STUDENT OVER AGE 15,10
08/15/2023,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,2
08/15/2023,18-20 Years,ACTIVE SINGLE ISSUE CASES,120
08/15/2023,18-20 Years,ASSIGNED JOB SEARCH,13
08/15/2023,18-20 Years,AWAITING CONCILIATION SCHED.,2
08/15/2023,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,9
08/15/2023,18-20 Years,DASIS CASES,39
08/15/2023,18-20 Years,EDUCATION/TRAINING,40
08/15/2023,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,3
08/15/2023,18-20 Years,EMPLOYMENT- GRANT DIVERSION,14
08/15/2023,18-20 Years,EMPLOYMENT-BUDGETED,151
08/15/2023,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,19
08/15/2023,18-20 Years,FAIR HEARING (NOT CONTESTING),1
08/15/2023,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1875
08/15/2023,18-20 Years,RECEIVING SSI,11
08/15/2023,18-20 Years,STUDENT OVER AGE 15,6
08/15/2023,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,12
08/15/2023,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
08/15/2023,18-20 Years,TEMP. INCAPACITATED - HEALTH,37
08/15/2023,18-20 Years,TEMPORARILY EXEMPT,24
08/15/2023,18-20 Years,UNDERCARE AWAITING SCHEDULING,141
08/15/2023,18-20 Years,UNENGAGED,1
08/15/2023,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,39
08/15/2023,18-20 Years,WECARE VOCATIONAL REHABILITAT,2
08/15/2023,21-24 Years,ACTIVE SINGLE ISSUE CASES,638
08/15/2023,21-24 Years,ASSIGNED JOB SEARCH,87
08/15/2023,21-24 Years,AWAITING CONCILIATION SCHED.,17
08/15/2023,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,53
08/15/2023,21-24 Years,CHILD UNDER 3 MONTHS,1
08/15/2023,21-24 Years,DASIS CASES,343
08/15/2023,21-24 Years,EDUCATION/TRAINING,291
08/15/2023,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,39
08/15/2023,21-24 Years,EMPLOYMENT- GRANT DIVERSION,147
08/15/2023,21-24 Years,EMPLOYMENT-BUDGETED,1089
08/15/2023,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,146
08/15/2023,21-24 Years,FAIR HEARING (CONTESTING),1
08/15/2023,21-24 Years,FAIR HEARING (NOT CONTESTING),3
08/15/2023,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,9922
08/15/2023,21-24 Years,NEEDED AT HOME,4
08/15/2023,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
08/15/2023,21-24 Years,PREGNANT,1
08/15/2023,21-24 Years,RECEIVING SSI,40
08/15/2023,21-24 Years,SSI PENDING/APPEALING,7
08/15/2023,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,25
08/15/2023,21-24 Years,SUBSTANCE ABUSE TREATMENT,11
08/15/2023,21-24 Years,TEMP. INCAPACITATED - HEALTH,177
08/15/2023,21-24 Years,TEMPORARILY EXEMPT,160
08/15/2023,21-24 Years,UNDERCARE AWAITING SCHEDULING,698
08/15/2023,21-24 Years,UNENGAGED,1
08/15/2023,21-24 Years,WECARE & SUBSTANCE ABUSE,1
08/15/2023,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,318
08/15/2023,21-24 Years,WECARE VOCATIONAL REHABILITAT,29
07/18/2023,16-17 Years,EMPLOYMENT-BUDGETED,2
07/18/2023,16-17 Years,STUDENT OVER AGE 15,11
07/18/2023,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,2
07/18/2023,16-17 Years,TEMP. INCAPACITATED - HEALTH,1
07/18/2023,16-17 Years,UNENGAGED,1
07/18/2023,18-20 Years,ACTIVE SINGLE ISSUE CASES,130
07/18/2023,18-20 Years,ASSIGNED JOB SEARCH,9
07/18/2023,18-20 Years,AWAITING CONCILIATION SCHED.,1
07/18/2023,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,17
07/18/2023,18-20 Years,DASIS CASES,38
07/18/2023,18-20 Years,EDUCATION/TRAINING,47
07/18/2023,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,3
07/18/2023,18-20 Years,EMPLOYMENT- GRANT DIVERSION,22
07/18/2023,18-20 Years,EMPLOYMENT-BUDGETED,149
07/18/2023,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,21
07/18/2023,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1898
07/18/2023,18-20 Years,RECEIVING SSI,13
07/18/2023,18-20 Years,STUDENT OVER AGE 15,7
07/18/2023,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,12
07/18/2023,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
07/18/2023,18-20 Years,TEMP. INCAPACITATED - HEALTH,34
07/18/2023,18-20 Years,TEMPORARILY EXEMPT,25
07/18/2023,18-20 Years,UNDERCARE AWAITING SCHEDULING,144
07/18/2023,18-20 Years,UNENGAGED,3
07/18/2023,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,46
07/18/2023,18-20 Years,WECARE VOCATIONAL REHABILITAT,3
07/18/2023,21-24 Years,ACTIVE SINGLE ISSUE CASES,647
07/18/2023,21-24 Years,ASSIGNED JOB SEARCH,84
07/18/2023,21-24 Years,AWAITING CONCILIATION SCHED.,12
07/18/2023,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,52
07/18/2023,21-24 Years,CHILD UNDER 3 MONTHS,1
07/18/2023,21-24 Years,DASIS CASES,336
07/18/2023,21-24 Years,EDUCATION/TRAINING,311
07/18/2023,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,41
07/18/2023,21-24 Years,EMPLOYMENT- GRANT DIVERSION,174
07/18/2023,21-24 Years,EMPLOYMENT-BUDGETED,1073
07/18/2023,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,146
07/18/2023,21-24 Years,FAIR HEARING (CONTESTING),1
07/18/2023,21-24 Years,FAIR HEARING (NOT CONTESTING),3
07/18/2023,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,9977
07/18/2023,21-24 Years,NEEDED AT HOME,5
07/18/2023,21-24 Years,PENDING CASAC SCHEDULING/OUT,3
07/18/2023,21-24 Years,RECEIVING SSI,46
07/18/2023,21-24 Years,SSI PENDING/APPEALING,10
07/18/2023,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,26
07/18/2023,21-24 Years,SUBSTANCE ABUSE TREATMENT,9
07/18/2023,21-24 Years,TEMP. INCAPACITATED - HEALTH,180
07/18/2023,21-24 Years,TEMPORARILY EXEMPT,163
07/18/2023,21-24 Years,UNDERCARE AWAITING SCHEDULING,678
07/18/2023,21-24 Years,UNENGAGED,5
07/18/2023,21-24 Years,WECARE & SUBSTANCE ABUSE,1
07/18/2023,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,355
07/18/2023,21-24 Years,WECARE VOCATIONAL REHABILITAT,33
07/18/2023,21-24 Years,WELLNESS/REHAB PROGRAM,1
06/06/2023,16-17 Years,ACTIVE SINGLE ISSUE CASES,2
06/06/2023,16-17 Years,EMPLOYMENT-BUDGETED,1
06/06/2023,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
06/06/2023,16-17 Years,RECEIVING SSI,1
06/06/2023,16-17 Years,STUDENT OVER AGE 15,16
06/06/2023,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,2
06/06/2023,16-17 Years,UNENGAGED,1
06/06/2023,18-20 Years,ACTIVE SINGLE ISSUE CASES,142
06/06/2023,18-20 Years,ASSIGNED JOB SEARCH,9
06/06/2023,18-20 Years,AWAITING CONCILIATION SCHED.,2
06/06/2023,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,24
06/06/2023,18-20 Years,DASIS CASES,40
06/06/2023,18-20 Years,EDUCATION/TRAINING,48
06/06/2023,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,2
06/06/2023,18-20 Years,EMPLOYMENT- GRANT DIVERSION,23
06/06/2023,18-20 Years,EMPLOYMENT-BUDGETED,131
06/06/2023,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,23
06/06/2023,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1951
06/06/2023,18-20 Years,PENDING CASAC SCHEDULING/OUT,1
06/06/2023,18-20 Years,RECEIVING SSI,10
06/06/2023,18-20 Years,STUDENT OVER AGE 15,8
06/06/2023,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,11
06/06/2023,18-20 Years,TEMP. INCAPACITATED - HEALTH,41
06/06/2023,18-20 Years,TEMPORARILY EXEMPT,25
06/06/2023,18-20 Years,UNDERCARE AWAITING SCHEDULING,127
06/06/2023,18-20 Years,UNENGAGED,17
06/06/2023,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,64
06/06/2023,18-20 Years,WECARE VOCATIONAL REHABILITAT,4
06/06/2023,21-24 Years,ACTIVE SINGLE ISSUE CASES,697
06/06/2023,21-24 Years,ASSIGNED JOB SEARCH,79
06/06/2023,21-24 Years,AWAITING CONCILIATION SCHED.,12
06/06/2023,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,174
06/06/2023,21-24 Years,CHILD UNDER 3 MONTHS,2
06/06/2023,21-24 Years,DASIS CASES,324
06/06/2023,21-24 Years,EDUCATION/TRAINING,344
06/06/2023,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,36
06/06/2023,21-24 Years,EMPLOYMENT- GRANT DIVERSION,169
06/06/2023,21-24 Years,EMPLOYMENT-BUDGETED,1029
06/06/2023,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,188
06/06/2023,21-24 Years,FAIR HEARING (CONTESTING),1
06/06/2023,21-24 Years,FAIR HEARING (NOT CONTESTING),5
06/06/2023,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,9736
06/06/2023,21-24 Years,NEEDED AT HOME,5
06/06/2023,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
06/06/2023,21-24 Years,RECEIVING SSI,52
06/06/2023,21-24 Years,SSI PENDING/APPEALING,12
06/06/2023,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,28
06/06/2023,21-24 Years,SUBSTANCE ABUSE TREATMENT,11
06/06/2023,21-24 Years,TEMP. INCAPACITATED - HEALTH,181
06/06/2023,21-24 Years,TEMPORARILY EXEMPT,145
06/06/2023,21-24 Years,UNDERCARE AWAITING SCHEDULING,574
06/06/2023,21-24 Years,UNENGAGED,27
06/06/2023,21-24 Years,WECARE & SUBSTANCE ABUSE,2
06/06/2023,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,438
06/06/2023,21-24 Years,WECARE VOCATIONAL REHABILITAT,40
05/03/2023,16-17 Years,ACTIVE SINGLE ISSUE CASES,1
05/03/2023,16-17 Years,EMPLOYMENT-BUDGETED,2
05/03/2023,16-17 Years,RECEIVING SSI,1
05/03/2023,16-17 Years,STUDENT OVER AGE 15,14
05/03/2023,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,2
05/03/2023,16-17 Years,UNENGAGED,1
05/03/2023,18-20 Years,ACTIVE SINGLE ISSUE CASES,132
05/03/2023,18-20 Years,ASSIGNED JOB SEARCH,1078
05/03/2023,18-20 Years,AWAITING CONCILIATION SCHED.,2
05/03/2023,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,28
05/03/2023,18-20 Years,DASIS CASES,42
05/03/2023,18-20 Years,EDUCATION/TRAINING,43
05/03/2023,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,3
05/03/2023,18-20 Years,EMPLOYMENT- GRANT DIVERSION,19
05/03/2023,18-20 Years,EMPLOYMENT-BUDGETED,130
05/03/2023,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,16
05/03/2023,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1048
05/03/2023,18-20 Years,OTHER WORK ACTIVITY,2
05/03/2023,18-20 Years,RECEIVING SSI,18
05/03/2023,18-20 Years,SSI PENDING/APPEALING,1
05/03/2023,18-20 Years,STUDENT OVER AGE 15,6
05/03/2023,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,11
05/03/2023,18-20 Years,TEMP. INCAPACITATED - HEALTH,39
05/03/2023,18-20 Years,TEMPORARILY EXEMPT,21
05/03/2023,18-20 Years,UNDERCARE AWAITING SCHEDULING,108
05/03/2023,18-20 Years,UNENGAGED,6
05/03/2023,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,9
05/03/2023,18-20 Years,WECARE VOCATIONAL REHABILITAT,3
05/03/2023,21-24 Years,ACTIVE SINGLE ISSUE CASES,583
05/03/2023,21-24 Years,ASSIGNED JOB SEARCH,6436
05/03/2023,21-24 Years,AWAITING CONCILIATION SCHED.,10
05/03/2023,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,219
05/03/2023,21-24 Years,CHILD UNDER 3 MONTHS,3
05/03/2023,21-24 Years,DASIS CASES,327
05/03/2023,21-24 Years,EDUCATION/TRAINING,332
05/03/2023,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,33
05/03/2023,21-24 Years,EMPLOYMENT- GRANT DIVERSION,149
05/03/2023,21-24 Years,EMPLOYMENT-BUDGETED,1031
05/03/2023,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,145
05/03/2023,21-24 Years,FAIR HEARING (CONTESTING),1
05/03/2023,21-24 Years,FAIR HEARING (NOT CONTESTING),2
05/03/2023,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,3910
05/03/2023,21-24 Years,NEEDED AT HOME,5
05/03/2023,21-24 Years,OTHER WORK ACTIVITY,11
05/03/2023,21-24 Years,PENDING CASAC SCHEDULING/OUT,3
05/03/2023,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
05/03/2023,21-24 Years,PENDING WECARE SCHEDULING/OUT,1
05/03/2023,21-24 Years,RECEIVING SSI,41
05/03/2023,21-24 Years,SSI PENDING/APPEALING,15
05/03/2023,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,29
05/03/2023,21-24 Years,SUBSTANCE ABUSE TREATMENT,11
05/03/2023,21-24 Years,TEMP. INCAPACITATED - HEALTH,182
05/03/2023,21-24 Years,TEMPORARILY EXEMPT,138
05/03/2023,21-24 Years,UNDERCARE AWAITING SCHEDULING,569
05/03/2023,21-24 Years,UNENGAGED,21
05/03/2023,21-24 Years,WECARE & SUBSTANCE ABUSE,2
05/03/2023,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,111
05/03/2023,21-24 Years,WECARE VOCATIONAL REHABILITAT,45
04/04/2023,18-20 Years,DASIS CASES,42
04/04/2023,16-17 Years,ACTIVE SINGLE ISSUE CASES,2
04/04/2023,16-17 Years,EMPLOYMENT-BUDGETED,3
04/04/2023,16-17 Years,RECEIVING SSI,1
04/04/2023,16-17 Years,STUDENT OVER AGE 15,12
04/04/2023,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,1
04/04/2023,16-17 Years,UNDERCARE AWAITING SCHEDULING,2
04/04/2023,16-17 Years,UNENGAGED,1
04/04/2023,18-20 Years,ACTIVE SINGLE ISSUE CASES,139
04/04/2023,18-20 Years,ASSIGNED JOB SEARCH,1025
04/04/2023,18-20 Years,AWAITING CONCILIATION SCHED.,1
04/04/2023,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,60
04/04/2023,18-20 Years,CHILD UNDER 3 MONTHS,1
04/04/2023,18-20 Years,EDUCATION/TRAINING,39
04/04/2023,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,3
04/04/2023,18-20 Years,EMPLOYMENT- GRANT DIVERSION,23
04/04/2023,18-20 Years,EMPLOYMENT-BUDGETED,122
04/04/2023,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,17
04/04/2023,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,968
04/04/2023,18-20 Years,OTHER WORK ACTIVITY,3
04/04/2023,18-20 Years,RECEIVING SSI,13
04/04/2023,18-20 Years,SSI PENDING/APPEALING,1
04/04/2023,18-20 Years,STUDENT OVER AGE 15,6
04/04/2023,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,10
04/04/2023,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
04/04/2023,18-20 Years,TEMP. INCAPACITATED - HEALTH,34
04/04/2023,18-20 Years,TEMPORARILY EXEMPT,20
04/04/2023,18-20 Years,UNDERCARE AWAITING SCHEDULING,151
04/04/2023,18-20 Years,UNENGAGED,4
04/04/2023,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,15
04/04/2023,18-20 Years,WECARE VOCATIONAL REHABILITAT,3
04/04/2023,21-24 Years,ACTIVE SINGLE ISSUE CASES,523
04/04/2023,21-24 Years,ASSIGNED JOB SEARCH,6126
04/04/2023,21-24 Years,AWAITING CONCILIATION SCHED.,10
04/04/2023,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,410
04/04/2023,21-24 Years,CHILD UNDER 3 MONTHS,3
04/04/2023,21-24 Years,DASIS CASES,319
04/04/2023,21-24 Years,EDUCATION/TRAINING,319
04/04/2023,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,32
04/04/2023,21-24 Years,EMPLOYMENT- GRANT DIVERSION,140
04/04/2023,21-24 Years,EMPLOYMENT-BUDGETED,1013
04/04/2023,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,157
04/04/2023,21-24 Years,FAIR HEARING (CONTESTING),1
04/04/2023,21-24 Years,FAIR HEARING (NOT CONTESTING),2
04/04/2023,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,3633
04/04/2023,21-24 Years,NEEDED AT HOME,5
04/04/2023,21-24 Years,OTHER WORK ACTIVITY,10
04/04/2023,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
04/04/2023,21-24 Years,PENDING WECARE SCHEDULING/OUT,1
04/04/2023,21-24 Years,RECEIVING SSI,43
04/04/2023,21-24 Years,SSI PENDING/APPEALING,19
04/04/2023,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,27
04/04/2023,21-24 Years,SUBSTANCE ABUSE TREATMENT,17
04/04/2023,21-24 Years,TEMP. INCAPACITATED - HEALTH,180
04/04/2023,21-24 Years,TEMPORARILY EXEMPT,143
04/04/2023,21-24 Years,UNDERCARE AWAITING SCHEDULING,647
04/04/2023,21-24 Years,UNENGAGED,6
04/04/2023,21-24 Years,WECARE & SUBSTANCE ABUSE,2
04/04/2023,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,111
04/04/2023,21-24 Years,WECARE VOCATIONAL REHABILITAT,41
04/04/2023,21-24 Years,WELLNESS/REHAB PROGRAM,1
03/03/2023,16-17 Years,ACTIVE SINGLE ISSUE CASES,3
03/03/2023,16-17 Years,EMPLOYMENT-BUDGETED,2
03/03/2023,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
03/03/2023,16-17 Years,RECEIVING SSI,1
03/03/2023,16-17 Years,STUDENT OVER AGE 15,11
03/03/2023,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,1
03/03/2023,16-17 Years,UNENGAGED,1
03/03/2023,18-20 Years,ACTIVE SINGLE ISSUE CASES,191
03/03/2023,18-20 Years,ASSIGNED JOB SEARCH,1018
03/03/2023,18-20 Years,AWAITING CONCILIATION SCHED.,1
03/03/2023,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,62
03/03/2023,18-20 Years,DASIS CASES,40
03/03/2023,18-20 Years,EDUCATION/TRAINING,41
03/03/2023,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,4
03/03/2023,18-20 Years,EMPLOYMENT- GRANT DIVERSION,20
03/03/2023,18-20 Years,EMPLOYMENT-BUDGETED,115
03/03/2023,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,21
03/03/2023,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,871
